work_dedication,salary_comparison_last_semester,profile_level_study,profile_gender,profile_experience_range,list_of_normalized_languages,usd_monthly_gross_salary
part-time,2,Universitario,M,0-1,['sql'],209.67557470168884
part-time,1,,M,1-2,"['css', 'html', 'java', 'python', 'sql']",190.61415881971712
part-time,3,Universitario,M,1-2,"['javascript', 'python', 'sql']",846.326865159544
part-time,2,Universitario,M,0-1,"['javascript', 'sql']",495.59681293126454
part-time,3,Universitario,M,1-2,['javascript'],345.43860317944416
part-time,3,Universitario,M,1-2,"['css', 'html', 'javascript', 'typescript']",383.8206701993824
part-time,3,Universitario,M,1-2,"['.net', 'c#', 'css', 'html', 'javascript', 'typescript']",373.60375128664555
part-time,1,Terciario,M,1-2,"['css', 'html', 'java', 'javascript', 'php', 'sql']",819.6408829247837
part-time,4,Universitario,M,0-1,"['bash/shell', 'java', 'python', 'sql']",327.85635316991346
part-time,3,Universitario,M,0-1,"['groovy', 'python', 'sql']",381.22831763943424
part-time,2,,M,3-5,"['css', 'html', 'javascript', 'php']",686.2109717509817
part-time,2,Universitario,M,1-2,"['c++', 'java', 'python']",476.53539704929284
part-time,2,Universitario,M,1-2,"['bash/shell', 'smalltalk']",365.97918493385686
part-time,2,,M,0-1,"['.net', 'vba']",243.98612328923792
part-time,3,Universitario,M,1-2,"['html', 'javascript', 'typescript']",848.8620334718463
part-time,3,Terciario,M,3-5,[],228.73699058366054
part-time,1,,M,6-10,['html'],3431.0548587549083
part-time,2,,M,1-2,"['css', 'html', 'javascript', 'smalltalk']",446.0371316381381
part-time,2,,M,1-2,"['html', 'javascript', 'python', 'sql']",304.9826541115474
part-time,2,Universitario,M,0-1,"['javascript', 'rust', 'solidity']",304.9826541115474
part-time,1,Terciario,M,0-1,"['c#', 'css', 'html', 'javascript', 'kotlin']",331.6686363463078
part-time,3,Universitario,M,0-1,"['bash/shell', 'python', 'sql']",457.4739811673211
part-time,3,Universitario,M,1-2,"['bash/shell', 'python', 'sql']",285.9212382295757
part-time,4,Universitario,M,3-5,"['php', 'scala']",1429.6061911478785
